msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
C9PCsy827y5578IWqviFzk/t3X4stoQbxFvwl/pQE5k=,41,30,129,129,1,20150905,20151005,0
k/L0c+s0HafoPD+hAcwRSNDaLKCFS7I+vMLXWbbUfrc=,40,30,149,0,1,20150525,20150624,0
8y92XX/NdCpaBT42k/ybIA0RJhIsXWC1r79kxGvfIpI=,37,31,149,149,1,20150415,20150514,0
ql6cgBLeAhozjDbVcovl+HzP/ToeO5LPuKalaYqGFUM=,36,30,150,150,0,20150705,20150804,0
9WJfzjQ5pNI7iDT30TOYSopq93arqn0eQRBVENN8ci0=,37,0,0,149,1,20150512,20150612,0
mZald2NlegWsmvV8xkcWtqjYsAb3mmGk2qvCRpghY3c=,38,30,149,149,0,20150121,20150220,0
CK+FHYNFnCsSB+KgShx6X7MDh3yqmjkS61ntLO/e4wc=,41,30,149,149,1,20150126,20150226,0
9yLVbYY1d3VpHfb6f24qxbAzYGnbusY7bhHSl0wKQNc=,33,30,149,149,1,20150123,20150123,1
83PZjgSx0X19HwxijtWABh/KgFwuDqt+8M1nTfJiGVU=,37,30,149,149,1,20161112,20161212,0
q5vnVksH5S16qliasV15p+sA7bTbFGmuAC/TSUg545Y=,40,30,149,149,1,20161112,20161211,0
Ac4v9Pk5n8YXn8UeAV5C6fmZQvc29ncrVxeSfJtMc9Y=,41,30,99,99,1,20161125,20161225,0
z6kQ3H2Mmewh8q+AVH7VESWy/1wSkQxVaSQoKZxFBAA=,41,30,149,149,1,20161021,20161123,0
D3q2JCsCwDffwklGwK6VouWjElbUrNQhKV8aSbK6AW4=,41,30,99,99,1,20161021,20161121,0
rZyEUMpIhujvFWdQiy3yJVaBdUa3Fjw736NcDXoAtPk=,41,30,99,99,1,20161112,20161212,0
yPYWOSQwGgLbXxWCiV0/7Rc7utF0TGDmx0APmryBNB0=,40,30,149,149,1,20160828,20160927,0
B7dvEKOStDGFeoJT0QxFv3eJ+h2W+UnyP1VXoX/VUoc=,41,30,149,149,1,20151121,20151221,0
+niMR84MKbJZvgIQlkBVvWKToI8rq14bRBfg0GFgpJ0=,41,30,149,149,1,20160920,20161020,0
EcpQTma1Qdgx4vmCenY1T1dk5MSJabFHaEAZny4e7Zo=,37,30,149,149,1,20160921,20161020,0
riAGPGpF8np0oS9GOooTYdaqOxvfk9E8J4PZDgf5T2Q=,41,30,99,99,1,20161017,20161117,0
u1mbis/8rMvKSa84gNQU95WCTnoPAIJuaZsbjSY17DM=,41,30,129,129,1,20160806,20161007,0
nq50tQ0lkOTnDeNtZ0j32TzRGfg7LMS5rzbIkHxAM0E=,41,30,129,129,1,20160311,20160411,0
PwBgC9l2G85pDZejL4blwRRA1kFJmZiAW6f4I9Gvpr4=,40,30,149,149,1,20160106,20160205,0
fi3Q5VcRqHK+afZ6dMbefQbHhWbXzK25V8+L2zV5mPI=,41,30,99,99,1,20160216,20160316,0
sHNtQYyJnpURItT05ZyyfywZOC6hwvm5GUXoLyKxYmQ=,41,30,99,99,1,20160724,20160823,0
AxN3nKDrl/ul+CfIafXFGLN27GyrmMj1KiooLj4eC2M=,41,30,149,149,1,20151204,20160104,0
S941PEy1IkjeHmrt1SifKFZE+AEs2HytyNF+No7Pygc=,41,30,149,149,1,20151204,20160104,0
YeISItgsJnAqK2kZ3v4niaSQ9EaOBWRvq3IHtNDXRnY=,37,30,149,149,1,20151210,20160109,0
/IkS3fIO/BRhlMFFErSgrtpqzedcrwnW/FUbaB1E8JM=,38,410,1788,1788,0,20160104,20170217,0
vDrW4MJjkY9QOko8vXLws4iUtqOgOBBtgRVsx3oGTxQ=,40,30,149,149,1,20160317,20160417,0
nm77sawVFBobtkACrtdqjLYBALbDIC+Lv43vAe9MLrg=,41,30,129,129,1,20160615,20160714,0
Ua8MVt37wgjrI1tqs6raAmDRt7PPx4irOPuY9ztrtO8=,41,30,129,129,1,20160314,20160414,0
oMG+OhS4h6Bu57+h1czdpXh1wT/Vynvigo8+acEM0aE=,40,30,149,149,1,20160303,20160402,0
h6pFn6NdTVKYzy9uVbunMEJBx4k9eWsKn7/B3yBbVg8=,40,30,149,149,1,20160408,20160407,1
BP3AZpr9EXnr3JbcG14TAJLRjYeberv7jBhkamQKUUk=,36,30,180,180,0,20160409,20160509,0
xIHrjsN4DZ+ETJ0QrB8Okwe750ch7JeuTrOJI/2+5jA=,41,30,149,149,1,20160421,20160521,0
WFZqZNsOMv6ClebSqSzcyqa9+vAGgfF965Bpu53RN6M=,41,30,99,99,1,20160120,20160220,0
wa1pvvGGRjkhuavwSvpuzkapyU7/LPjSel//x/C19V0=,41,30,149,149,1,20151017,20151117,0
DvlIpPY6JAuQn6+meddBTvS7xURg2xms84UtKkRo4kE=,41,30,149,149,1,20150914,20151014,0
PHJSdd8B1q2hfsJ8proZw+GcGrYnZlDSrHdS3dvAZGs=,37,30,149,149,1,20150915,20151014,0
nmz0n/6L6P/57c5E1Tf4wtwKLybNr4OBuEqA7hNeU5Q=,41,30,129,129,1,20150724,20151020,0
jEIwZwwlv3YUMUeGVBK3CzOrXBBndIRAt+y6oTK0IMI=,41,30,99,99,1,20150822,20150922,0
kUn8d2rIsZZd28bjeSE9Ybd2IcYvN/x1n65PzJ6RnYE=,40,30,149,149,1,20150811,20150814,1
OjCHeniNErxQjIF6pp75jaEiOPDVz6OgCudDCCNkrQk=,41,30,149,149,1,20150916,20151016,0
sdMJ9YbOaf7tTwHYaIP4xkM67BzEMTd94tBCSbl5tNg=,41,30,149,119,1,20150927,20151028,0
3WHlwO85gYqSV4tC5mtKcc+juVpKAcVBqaRj+9DxBao=,37,31,149,149,1,20150305,20150405,0
cr4LznkKsTuyr80GJovujD/drB7EoiFT8XUCE0eee/o=,41,30,129,129,1,20150315,20150416,0
Mowqf1aNw96RFyP107VFwEYh0QcohT6VPBq8Vg3aFkw=,41,30,149,119,1,20150315,20160121,0
aQaJFUmbE4Ut9mX4jkw3wm+wsCIG5TlrmPHsR9jzxBw=,41,30,149,119,1,20150309,20150410,0
2C4sRmzm+SJlbeg8Hrdo0JbyOnEL/UGw1XoLWU4n/9M=,41,30,129,129,1,20150224,20150325,0
L5wC+FF5BsGSIiSnzZsWypNIIwkWP33Fe9vBA9SvdQg=,40,31,149,149,1,20150308,20150922,1
y10emaH+quNmt0F1QE7uisuGWZNOpTVMAxZJy4r0uBk=,38,30,149,149,0,20160229,20160330,0
9d69p8ITRGTcqJgLQg75IWCNwc4FniyEOf66nvDSK24=,41,30,99,99,1,20151030,20151130,0
oGm3OXfVx1U9P0qkDdIRL/mCF7ScnEV2cBzEdJLiR5Y=,39,30,149,149,1,20170228,20170331,0
h0FgUblNKrj8nWJxPN3KjlXxk9OT/ClZghTePGQaq/E=,34,30,149,149,1,20170228,20170331,0
vVfcuMuCArZL8TQ5hcEU1wL4iila8hrDjM5GY3zr3WU=,41,30,99,99,1,20170228,20170331,0
Db4/1w2dvgU5kipcrhZ08/kgFk399Uv+Rz39q0/uchA=,41,30,99,99,1,20170228,20170331,0
DWRWwwZwTZwlApqIb69kx6AF+A9ZNogOZvR7WS8eGYw=,31,30,149,149,1,20161031,20161130,0
WH+JZVPSZJ+55t4yNbbL0luv2l7B1he5nm3FbNu1OXQ=,39,30,149,149,1,20161031,20161224,0
YuzQcyzDNj8oLIztKW/WopqJuX9B/4HL/9EsYnxbHyg=,39,30,149,149,1,20161031,20161227,0
ci41bqkhY6MyUE72/j8Ts1XWQ9cFH0Wl0gzq/Fi9Pic=,39,30,149,149,1,20161031,20161226,0
vmiBwJ/jWvcpB3JQHgWvR5yqc0yr5Bi7iM31gXWPklc=,34,30,149,149,1,20170131,20170228,0
3Nprh0h+yeSbWMysqEzVSM/oSH4WSWx7dut+W38zIaA=,41,30,149,149,1,20170131,20170301,0
rljv6MKLQrP+VJLBFU2hLXhNiabob1e/IxC/7lFzXaQ=,41,30,149,149,1,20170131,20170228,0
nE4rskQUBimeEkFJtCkVZ31Z3jNJ1GCA5MVfR4k+DzI=,39,30,149,149,1,20160831,20161001,0
4CHj9lb7SxWYEv8fyXJToZyQJkATb9MWMKz3abulst4=,40,30,149,149,1,20160901,20161006,0
6I2QBe43LORL0WTCQhEaUEW96c5/rETsGSrVaiKnno8=,34,30,149,149,1,20161130,20161231,0
OCmR3HwLQ6D311njYF3qUkrxRzh5VsXqDfv4VMO8Xto=,41,30,99,99,1,20161231,20170131,0
iqhwULsWVQdcNpvrOFOG3pqBB+uv66hnD0/63bqEn5c=,39,30,149,149,1,20161231,20170207,0
m40NTt7XHbAVwCI4y6TYH0XBJdPeVVpBUSKT9NXP7xE=,39,30,149,149,1,20161231,20170210,0
tCrvoTccsVhvmsLjizMJ3Y4Mbi387QxPQKTfpfz3L7A=,21,30,149,149,1,20161231,20170217,0
6bHKzH81YaT5pWtTSeL7xYzv1ABpYbFE0HuhYou+roM=,33,30,149,149,1,20160930,20161031,0
Af5sdAT1/DdfFNc2U/LBEyrIqmYA1VTla+TktAXHHqg=,39,30,149,149,1,20160930,20161103,0
nMMvFNj8N75CRBeAIQXtuBSaT4uwKhZtZQtmhDx4eIA=,33,30,149,149,1,20160731,20160831,0
yN5rKUKohNCCxkBMVYu437ET2AMxBwP2udsKNaZCibM=,34,30,149,149,1,20160731,20160910,0
3GOb7oYTITwnDphoKjaQh4RrvCMKKdrxRsry/K/FX+o=,41,30,99,99,1,20160731,20160831,0
YuSMvkBxJUmIwoOmgP7FFyBtMVl99AThnPNceO9+nzg=,34,30,149,149,1,20160131,20160229,0
TorEOYtKpoZBGwoW12ncIJJFrUqESLLdkSEvBDQ0784=,39,30,149,149,1,20150831,20151028,0
qqRiQwCjCQdTE8rKoaL6keSlyIwGiqFEUFjovmDo2cc=,39,30,149,149,1,20150831,20151018,0
LNpmpyIXLkkMfkHsdpA2OCC+06tLRV09LVbBHJ/lnEA=,39,30,149,149,1,20150831,20151009,0
2XST0lzkGU144x+VkXxO5DDAiRa5vJmRsNIUpulT7eQ=,39,30,149,149,1,20150831,20151008,0
0T8YuC4P7oDsXNf/zLzCULTRB/61+NOHuDHFB8h1Hsw=,37,30,149,149,1,20150901,20151001,0
SBvW2j7eOFIq9Bl2lVaPW9NRNhFRgUo7hKQcOPbSJKw=,33,0,0,149,1,20150831,20150930,0
q8JxNr7ONZA6DttCmmDgfoGBZvDCOqCUX5FAU8UZunU=,41,30,149,149,1,20150630,20150731,0
UIvaJwP7wz9aGkK1gU+j8PEt1sepopQr3b8hQEbqS8E=,39,30,149,149,1,20150630,20150818,0
Dq8jSB4GmaMcV6o+4T9hYHgKQs2gkMYypqGZJ8ogUXw=,41,30,149,119,1,20150731,20160516,0
Q2nraB5f+zDMfZljdvLDnnv94AWPLdo2+czr0ZomD80=,34,0,0,149,1,20150731,20150831,0
hxCEVZIoWZ1Qsu5vzo8tUVgHVKwAlbAffKcTg7ieAjg=,34,0,0,149,1,20150731,20150831,0
WtofXEIYm7w3ZjSDRqZE390s+F1jYd2vC65FHbxI9xE=,39,0,0,149,1,20150430,20150617,0
pbLS6g30JE0s6ME/QfFXqluEw9Np61UF9haI/zJJ+DY=,41,30,149,149,1,20160905,20161005,0
+mpTwWM99XQlw0k6rsbOICRa6U46+pJk+//uXImGkWw=,29,30,180,180,1,20170211,20170311,0
xSvbLBDv81zl5L6EIPXTprnmmlM7Vj8RVuLCo0oL54c=,40,30,149,149,1,20170212,20170312,0
CCmvHKlI2XAfpR+r2bWiPe9cAIfgzFk/ndWT+v/VxtQ=,41,30,99,99,1,20170218,20170318,0
d+rkkmA1kkz//ahDT34Ukykcqn3bbMTjHf1Vs0un/v8=,41,30,99,99,1,20170116,20170217,0
pTelMkYMNdjuS3Woslf6XMPMiL3W9mctPjkqfxSdVBY=,41,30,99,99,1,20160906,20161006,0
Jdl1VsMMrmvHEAa5eEWX5XTDvOQZ3sBi2UAnutdn5gw=,41,30,99,99,1,20161225,20170125,0
YEz8REeugoZ0bluKsq7LAjiTXUZ6/Ecda7zLoI+cjzc=,38,30,149,149,0,20161226,20170125,0
A9XUbqXkziOp8Ldvo0g1HCzwKsAZUQVD783OFAPpP+E=,41,30,99,99,1,20161226,20170126,0
j3tS29qkUy9nD1cS1OKcdnnWswY51cQRoU7wflUniN8=,36,30,180,180,0,20161227,20170126,0
8fUfDyHzDtUtZD7iOInYx0GFaOzMCCLHdxlrhulT/tc=,30,30,100,100,1,20170128,20170227,0
qnP7nmrA19MzqTQhLfkDBSS3cQ2ohKeihQx5eTgsxuA=,41,30,149,149,1,20161223,20170123,0
8VHc4bj2chcwFJpSr0ajF1TvGvn2WT0v0ZONt7zjE/A=,36,30,180,180,0,20160713,20160812,0
H/w6VPxXJ3Zk3iC8YxFDU2A0LmSeNXIh18QatSS6kwk=,41,30,99,99,1,20161214,20170114,0
4Ez28yAo556R9kMcapZ7gwENlr1Iq9BbHLWYq5KsiEU=,41,30,149,149,1,20160104,20160205,0
kTu6WuJURPzgLyA48ZiuDniJPiIXOti3E+NzWj5CAe4=,38,30,149,149,0,20160818,20160917,0
6aOlbxoEtBtE/6GkxgJaVkfIyyW/grwdrC0mcSnDvfc=,38,30,149,149,0,20160613,20160713,0
rRKSTV4ZP62dhhIMG9aD+5Kt2FPGrqjK27kkIYW/0Kw=,40,30,149,149,1,20151113,20160118,0
ILLlBWpr8EAXmk74uFYn2M2omfo3HSnCOMjpMSnfBOI=,37,30,149,149,1,20160305,20160412,0
f94UslW5YW+rUK5DPp6Q6rsCJRwAlxMN1J5a6EkX+Ak=,40,30,149,149,1,20151222,20160121,0
/CKeii+6AaixQIYejdYopBIIKYAoh9TDiWmivUoLdiM=,41,30,99,99,1,20160503,20160603,0
IgyHzcYge4kRINwuOGErEp0MlAY9jtmsslfeLwbeaDc=,40,30,149,149,1,20160412,20160511,0
4rM9Kaz2S389kD6SuuSM0djCMcwgxfOzqouTWqLTZ+Q=,37,30,149,149,1,20151011,20151111,0
SlGd57YJZ4Diu8Byee2NF3W6ZDwn9r9BAlfYn4M+gl0=,41,30,129,129,1,20160501,20160601,0
2KY24Yqq2LfYcc3zdzNClQlbRbapVoVNsuXVORfOFcE=,28,30,150,150,0,20160323,20160422,0
SdZeIJ65gLk0XHWUwESOy4P4dcIP+m+kAu2dHLqy4o0=,36,30,150,150,0,20160128,20160227,0
By6dlWsaXanG216/FW8HWCZ33y59duogHYZ42l1lrYw=,40,30,149,149,1,20151015,20151117,0
zQA74gMbQ6DwPESdc1zl6A7jEUV6PByUpONPh/H1mKM=,41,30,149,149,1,20151123,20151223,0
OlFemfh8BlgkRSqjqm+gWv8J5JNRdOQpbkrb93nOvLo=,41,30,149,149,1,20160223,20160324,0
Ld6//psvCrVP76zmD+cZ61JvCjWldl+cUIYs74fbKlg=,41,30,149,149,1,20150820,20150920,0
WHmXKZzKBhPs8UYUFn44xg+7vY/IRE8usu+oCLtZv2M=,41,30,129,129,1,20151026,20151126,0
6QjKwoQ6/z+XuVs93qBDDB64BkS/hYW0hlGDwzuksAM=,40,30,149,149,1,20160424,20160525,0
XDITWNC6i+rO3ZS3igegyKRykWcpkzQQfMoCdjmW79Y=,41,30,149,149,1,20151001,20151101,0
xQZJ63DgBfWiPCxhZUIPeCjx5JwsiR7deObojp1GULQ=,41,30,149,149,1,20150207,20150308,0
bxIFbktvmAa0jcuJFsElCkoNH/+aYNARlmyQJydAD2g=,41,30,129,129,1,20150324,20150425,0
2nuseI+OuZjgpRFuctjjK52kQDf6fEaXLvHMZ+/oUg4=,38,30,149,149,0,20161020,20161119,0
YOiED32XAJC0WFWdgQ/9M0cUadN104JNmVz5bNt7atQ=,41,30,99,99,1,20161117,20161217,0
9s9+kZnbwqNbUZF8mfz7EVsSfiAEm4zYTRWSsdWJnO4=,41,30,99,99,1,20161118,20170104,0
wA0QskWAmUfsIdjq/YYHDJnKdZMKGcXRtEJm9s/BjwQ=,41,30,99,99,1,20161026,20161126,0
J9uCOOi8y0j70NAG/6SYbwcKeWiybe2XDTo15MKz7Rk=,36,30,180,180,0,20161027,20161126,0
z0uVopmOoiei3pWC3xQErOcFbD/kxUMMLgpQYXCwHlI=,41,30,99,99,1,20170204,20170304,0
/TlInSMYwCjstIoKaAuOg9OoQiIkzuoigAgwFtSv9+U=,41,30,129,129,1,20160819,20160919,0
yFB126CJ1DUXn/IboceBiLa818gmwIgzrt4UL1h9yBU=,41,30,149,149,1,20161220,20170120,0
of9IBYd4FbBADFmfooA2zmiAGEm72QQ6oTmAR7W9K58=,41,30,99,99,1,20160619,20160719,0
9332V9eQLR3U9Q1HSHs26qZNAsHFa0mjAccLUqI40fY=,41,30,99,99,1,20161015,20161115,0
ku89XaKcd7iiSoAV3/y4JxuAIM/uzw4GW3xmD6rbAzs=,41,30,129,129,1,20160626,20160727,0
GOJW4em+UQ7oAFRo96oBfk6zd7BEgMdv3VSPgAwbUxE=,41,30,99,99,1,20160709,20160809,0
vPTPTWo0iM9D6ZT75OOL82GwHaAI6ogzZ5UqJcNtE30=,41,30,149,149,1,20160405,20160505,0
EiyrJjb6QRETa1lvqbIXNWPNhoYr/u2dodCnR2GjoaU=,40,30,149,149,1,20160709,20160809,0
TpK74W9qZhQZTsimMLfpElD0UfbfQyflpd8r2UfgQHI=,41,30,149,149,1,20160214,20160315,0
J7h/lzjMKOTuB7LqkbGn2fZK+7i27y9ouEDc+XYRvo0=,41,30,149,149,1,20150612,20150712,0
/ZKSwoOYlpzh+ZPherZfRYi9urCiBYAfJddyrM/Ufjg=,41,30,149,119,1,20150612,20150712,0
YJid31XjjxKvoJAonW5rZ13EuRkcCMOWMiDoAvFb6aI=,40,30,149,149,1,20160812,20160911,0
Rhf9YQOtTQfjn8AOkD2/J8/QUs4IVUpMKqPfPR3QACI=,41,30,129,129,1,20160508,20160609,0
4Cie1FzYd52MA8BLzI7UuxjisLyrHNSC/ZWhROyqusE=,41,30,99,99,1,20151117,20151217,0
loKhUqnUU96FAt3rJMfG44Kc4QHULbHxwlK+WKgl7V4=,34,30,149,149,1,20151118,20151118,1
YFQ3R9lwRT/ZHkVeSBQmtdqMxIMeWi666FXGI573gKw=,41,30,99,99,1,20160615,20160716,0
f28N/cfBjbPTl8SWfr+PYWAxBeW1hEyhKiVVQWilzzM=,38,30,149,149,0,20160616,20160716,0
tP/VktB2Xx/sepWLPM5A47hJNdZ8kKWRYSaV1RuGSRM=,40,30,149,149,1,20160117,20160116,1
hFf2ka1QdmkhjaObvJrhsp0NaP2swMrULbdFhC2k7dQ=,41,30,149,149,1,20151118,20151218,0
h07Ngq/U0OIUVhqSF9dfXchvNMXeE2wjsfDp2i9bN2A=,41,30,149,149,1,20160320,20160420,0
R8mzOL2fpj4FHguvjo2zy7NOMzh2G88qNPIZCoSmXb4=,41,30,129,129,1,20160613,20160713,0
e9uhJIgjLQX9ucrpUdwOYtGlSpRKcU8GM2jUl+N0lc8=,41,30,129,129,1,20160613,20160713,0
WaiXgeaf7Q1gdlSUn9ZpGT2Inf1JfYglhYxlXfGbd1Q=,41,30,99,99,1,20160317,20160417,0
55LQ7G4dsyFkQTRKM7oN3bwXJlr7ziK7+tXeorDdasU=,41,30,129,129,1,20160127,20160226,0
nUzKx+FkuV2ggYy9cIzV+Uc+VANHNdE85TCi0vl3kzE=,41,30,149,149,1,20151016,20151016,1
OpXzeCsqk/F8D/NP808GL27uvkvq6xN3mG8q62MT4D8=,40,30,149,149,1,20151219,20160120,0
C2rf6C8OKvaIsfM6JWyo8KAxFesBG/BwMZqLn1dsH7M=,36,30,180,180,0,20170214,20170316,0
IBZfDAtSIFunYKe61qcU0zsqma+TH/Lare2omcvnT0I=,36,30,180,180,1,20161206,20170105,0
DjeyLSQ9i/VoSgJ37iTunJplEOkwPhwLVuFpo5pYQ1A=,40,30,149,149,1,20150815,20150917,0
V9/TOiX5LpO+gnxC3JAxP1/287a6PS+p0bJQVVdCWcc=,40,30,149,149,1,20150720,20150819,0
i3E2wG3WyL2p+63FhWMPK22aKfjcqErVBGSs6eUL1gU=,40,30,149,149,1,20150909,20151008,0
fvDNXbXIM9ucbrcGZWKFAy4wyA9QvaQyMKVoJ9j15x8=,36,30,150,150,0,20150827,20150926,0
L3TD7M6NtTPNZSBAsSJkn9SSwPJzOFBxQ2nqJ/NRT0Y=,40,30,149,149,1,20150528,20150627,0
bmVIHDzLXfwKEcpIEKvMUtiEwKv/iDBwoU17hHNcEgY=,30,0,0,149,1,20150425,20150524,0
Ty1FeiXXLMRL43Hrz3+NCIm21qpbV7FyrPXN9fmgwIM=,36,30,180,180,1,20160730,20160902,0
fnC3N/e08rtwkONcE8ZfCDlbON9KQX4bpPOhkz2wbYE=,41,30,149,119,1,20150605,20150706,0
