msno,city,bd,gender,registered_via,registration_init_time
IvC6FQSGaH+8tCzP6OKK9dH7ru4OwXK2J59HCVQGs54=,1,0,,7,20160731
/UTjB8ozMC36+Ed16JYIbu+Zm7BWExGbK36+C/EWECc=,1,0,,7,20160806
5+ojAcGOXulHP8aJ9MwMWn4xZNVCy30uUrFMFRCjiN0=,1,0,,7,20160806
UY9v0zV/Fd5tMb24zJc+8ghyLidHvIajlvIyeE78gGk=,15,27,female,3,20150215
qdo4sorNJn6G1RxxuH1oKq9vcgfgLSjt7dhEKSxo2FE=,1,0,,7,20150221
BQ4x7JiTuEtpb0BDdvLzUVjX+ujBVSnMKP67Vb/aOTw=,5,19,female,3,20150222
PQeLby/He+DvnS+t1kADHw9L4gqLGyaGXelHed4tzWs=,22,0,,9,20150303
wMdFEStOXADcSKQMIpG77e0F9aCKNxcAUJNviKhx6Go=,1,20,female,3,20150307
SS5FKWOzRLdoBmsBN27Ei6y/4Mvq/aZrT7noIHwbD5Y=,1,0,,9,20150313
NKIKauZON3LXsi+GTGvacuzoa6HZPT2NidI3PFE7bJ0=,1,0,,7,20150315
caGU+95LX9FI/Om209xn0LMKvOf9PuDgvK8paFCDyOk=,5,27,,9,20150317
cI5s0ofmWP9sHY+u+X3hvETdYDdG3gUiF9Y6JAHs1O0=,15,22,male,9,20150318
4fHMqyFtcdWLrdnGlreB/sY5SI2yE1nVjqotxWh5VSU=,22,23,female,3,20150319
oG3mLeekWyELUl0YTFJuYDNdBn2VSW9CWjwG7ebdH5A=,1,0,,7,20161012
f4W6s6p5T2v5LS54donClDrYQB89ozImIQ3CksWjZ6c=,22,23,female,3,20161012
2OHEDGobUuxTUT4o9NjH1k+6uUEtDvElgYO+vg8Ebfk=,1,0,,7,20161020
55WOOCMJNuy0bXLD4qNTKqGlA1o/wp2yPDnhlEYxo44=,1,0,,9,20161030
nqmnLweGUwSTqMGCU7Zv8UBkTm6HFEsvLdv+KcaQI8o=,1,0,,7,20161103
AASNmwQ1kwo1xoh6zfsXK3KKSCZqaWQVmmS4DZ2ssMA=,4,33,male,9,20100412
mKbDHDdxCSJOHWsgQaWCfKssSLKnDdF6Be1ks0Fy2ok=,1,0,,7,20100423
M9DuoB7mkQu3DW4/6E0dlCfQV4davVwQ1ZM7jFdPAjk=,15,27,female,7,20100427
YqRs6dWtKkU44kULNqAp5R6oiEoTQ6nvjC4DThuZMrg=,10,30,male,9,20100501
keYz4XwgKd+czb//4xKuxt9FHLwcsnfByX7XjpwsWqA=,14,29,male,7,20100508
h0FgUblNKrj8nWJxPN3KjlXxk9OT/ClZghTePGQaq/E=,14,32,male,9,20100513
fL3S0o5fuX+/pWnHO8wIW516hSoje7IQXLj4tbIQj0k=,5,46,male,9,20100605
VsZjExS/olMQeC5IGFrBWRjx9+pMqSgmZvjvChtaFpk=,1,0,,7,20100623
uDrYJYzpKF8TnP1b8ihh+28ZmP8oIFvBqx5yfMLmzL0=,1,0,,7,20100705
VdQlMO0rqhtfp506JF0QauUZm+v5vuGxVNcgBjoaWZs=,1,0,,7,20100715
haCu0BpXtD4Olk8KL2rjK2xtcttJF3RkHUXEcvOnfKk=,1,0,,7,20150326
hHgwkiFWnNQfa3xMSyzmUd0OYNJH5HoPJ+2M4kxQp/Y=,5,27,female,7,20101230
xlefTZlu1BqST/WCwImCWDSvMBi/3ej5EoCr8yMEVJ0=,13,24,female,9,20110114
nYZzTO6Xgh+wIYCna2cGbr/o/CuXHKyQ2gheOYx+hlU=,5,0,,9,20110118
/Rnq/9ystl6U5h4rRRUSIQC62wlY/mL4kJ7Neu/x2+Y=,1,0,,7,20110118
4w3GxMSYjrU149TC2t0OzBh3JQYSEfylJz2vFLTW9sE=,1,0,,7,20110201
+FR/e7QDj3Wn5czk1WOtD5cTAGTHu5t5qYNOHHqwees=,13,39,female,7,20110213
8kd0WVwX3rAUCTC9EOsZmII2eQINJDtMCVNJyWt/Zto=,4,27,female,9,20110215
O0vOmIc5Fder4QzqHQSyxXSPAK3uSKzFVZtfh1VQr7w=,22,28,female,7,20110216
cfqzaFQBxO73G4yHsfBl6vfwd6FfInDsZgn3/8YFVXQ=,15,36,female,7,20110217
emOGxMJSjp6FRQ+IK+dZ9O8746A8qn9VueZYwEnjmeQ=,1,0,,7,20110222
cz3VvOsG0hgM3TWQsIHq1/b+8HiqPs9jCnzsy2JX+LY=,1,0,,7,20110226
X3MkhiuYi4xUdNW1BrSmh+uha291hxjG7c7jBjxhVTE=,14,23,female,9,20110227
xjISeULY9cl6uMbGc5Dhe5qTv0DUDcE2o5f9zJmiFqA=,1,0,,7,20110228
9XnBB5nC0AUKfspsQqojtPVyLTojU/RcypaG9/5zNPE=,1,0,,7,20110303
++j2SYmpLBS0CgzyaQgw+Ex2KIBEOGzg6esVjJzFNkY=,9,27,female,7,20110305
0UrtF0hgWgLX3kVk93UPkYrcuyx1YdzNyjksx7pP2vY=,1,0,,7,20110308
l6R5996E/W3zIgwv4p5by54VEjmWgpIP70sNOCj5z8w=,5,47,female,7,20110316
9o37uKBSH4mOS2Hi51RvbIQQRRITOYST4ibGR/Kyzzk=,13,25,female,9,20110322
09hDuS3G9XSQf9zKMxl9P+y8P/RGii6DnWX1cYruv6s=,1,0,,7,20110327
2+MI4jUTwoWDATqg8P6KTnVQ7tq9X95PJyX4sOfecHA=,14,25,female,9,20110331
rAPh5PmRjwPJ+l2ACO1xAQ+H/l8TQYsCYIVOtzMm3v0=,13,0,,9,20110410
2NsghE1Uc/BDviMorh1u7rSWaSGWG8owaMA5NvSF0L0=,4,49,female,9,20070517
GwDmaMzGxx1FOFVs85BrIpd6pHP8o237otPaphKJdNs=,7,59,female,9,20070607
I93fIie8huW8uqbCVO8d2BmLyBa79Fo6UmW7e7AuVf8=,13,0,,9,20120115
5l4jpDis8R+dbymT0PuXXADdJO6KVeJBMvKhJipv3+w=,1,0,,7,20120117
u1lQjt3yqu/A3CSFueJKVUXqTmBF+oUAQerDOtjM6xM=,1,0,,7,20120121
OGUpmopbltxlnY4PREo6WqLcAHdA9LjxTthXCLpXOm0=,1,0,,7,20120122
bwV4Awkv0NN3VN7DrljGBtHK/YMVwW6/YKeytC2V4iU=,1,0,,7,20120206
O146aNCFZ5lhCXq0N1+mj64JIG/MnnYHsxU8GlJbUlw=,1,0,,7,20120211
1A7dFHcoX+u2B6y1PWm07KTn0Vstv0a1eMZrJzG+7uQ=,1,0,,7,20120213
zymEpvSSchwMeGPd2QrqAxU5/mGf6DCAq+QYgTdwLjw=,5,30,male,7,20120214
tEEOzyvRFTzMh2mw5AUTbH9h2l7VLRMTKYVSbmiOu6Y=,5,35,male,3,20120215
6lN7SBpI1OEpcaG13OKoxXegiVS0z8+pYvoqNXckHFA=,13,22,male,9,20120227
jKyx2Y4DXwTomJ1Pk94pBGhTRaPFprGbkyb+qGAUnn8=,1,0,,7,20120318
4XifKZCCBGofAad/D04z5R+x56pW6QWUf0HlWBpTyvE=,10,29,female,7,20120323
e3s2DWcl6HZ0mmsqpvCeuwitjyH84VEkpuz0Hw6ofyY=,13,24,male,7,20120326
ZUZE89FYL49okbDJn2TkXk2vFbQi0GnZA0nDCKMnmII=,15,21,female,3,20120327
HLTJfzFWXHwOz7s82/h8u7K/uC87Jgv6vIQ3iXj4sdg=,13,24,female,7,20120402
A8Gb7xwkBg6RnZuSe/b+Gq9rzbmsnGZ46lnF81graH8=,14,32,male,3,20120406
c92vI8Qn+5JYzcleKpUL5nEHfdyDD0+ibXEybL4NzFs=,14,23,female,9,20120406
AtBsp8Gj5r8fggbN7JweExjevqSfKeb5XQhRm9kouCs=,1,0,,7,20120406
DsgM962YeMCkjQlXdvdRnLy/5skkDfpJwWSqJ/M6EjI=,1,0,,7,20120407
kXmd4Sx7D5ZfDarHjMnpwGN3J9v/cnJ+DmNltgrlVhM=,1,0,,7,20120413
zK/pNOymjiMK7L6NmatwBnDPBARldNuzs+695vjlF08=,15,23,male,9,20120424
uyU3ZgSjyHYVTyE16CzmUOJDevgU4FhTY8S7COb+6ag=,14,23,male,7,20120427
e9T2j8MxkqoZ9eI77LxqDonLDxtahhasCc5V4cVXlOw=,5,24,male,7,20120428
gjVcbMyb8sbs9KpVQ0VBJMwEfvriHuMcWn6lZUNxjn0=,4,22,female,3,20120507
bP4FzVn8imb5a0tdZqbeDXxQofeJXNiKQ9YGN3TA23k=,5,31,female,3,20120510
IblQphor7nRt3tem04Skk76MMkkf4UQqt3MhZnSr164=,22,50,male,3,20120510
kdAs8PrQ50e2Ya4uVeW8H054GwXaShVxwde7ovbmCV8=,4,21,female,3,20120511
6SnGl39mg2ItAMGFHPtx0ycJBhw+FUVsTXUA4xrdJOY=,3,31,male,3,20120513
LgkkfbHk2V+ZocMEh0+3mq2oLdylmP8gtuaD7JnpN/4=,21,21,male,9,20120516
QJFhjzKQW0bTamyKYjFwwDd04wg6URewp44mLSgg7Kg=,14,23,male,7,20131103
VKpo68pexScScbat8SsBYUD4BqqeleZUCSgDFf7Gdr0=,5,21,female,3,20131108
6kpNgwIB6gPoplJxMyt1pX0nJvH0XK/GGN/22vCvsDo=,5,18,male,3,20131114
r4elqMd4STF0z4VbOuOQM6WfqZkFq5gBAKpakznDGAs=,12,22,female,9,20131115
yNONAHXy94fe+TDC3pf2GMgL1wAHST80zLVKmpQFiec=,12,35,male,3,20131116
fPPjrlJ05ZHrm0lSWszXoeWo85xoD5KYp49HmAwht5g=,1,0,,7,20131116
GFLZXczzbNX7GoFp59rVb7cahr2wgShXBbxO/zZM13c=,1,0,,7,20131120
r06omoQob7gPKzbBCjMwEI0UMNXfFLHsj7F0plHHoEI=,1,0,,7,20131127
eAIkB4jPxDaylze7crlQ65m3DoODtv74VPbPWQ3di7s=,1,0,,7,20131129
mc6tDSup6i3shJ+1dxLEUC2UZd8se0B6QqIoIYRATng=,5,0,,7,20131130
FhvqZAzfNavFmXMoDckTT0hfSJwGQ8rz/k5lXkprGho=,22,26,female,9,20131202
PHE9lfLBEK8MTRHNBANsQSVe9XSegGYrfw+zKc/wQJo=,1,0,,7,20131203
ZCXsO+x86D3BSgAZFJdNeMQClQVZN8oCqzQQPLESbv0=,1,0,,7,20131206
OKg+TJLr7p00MxSriRRqcwRDxqdisUwamB//SH4tOmA=,1,0,,7,20131208
5ACYk8yLIp2o+feiU1GZXZgxLH/spfpPDFs6SmjYMMg=,6,34,female,7,20131209
CL3nTNi19+4wl7tQ+WGI3+uWgjkVtE43NBorW0MXy1Y=,13,46,female,3,20131210
r+bZrgfmn+AcnOijUDuQhYuATZ0+lV+1uOeizb8H0Z4=,21,0,,3,20131210
J6GsdWxPlUdU6suxccVvYB8y/Y6ild9KVvXrYE2zIcM=,12,0,,3,20131213
kG8cVU75DtIv0JyL1hlz1ERCFt+z76XGjoBi+00IwbU=,18,23,male,3,20131216
aZflM2awpWsYl4o94ASvCDh/UtN4k2rasakTOS+V7L4=,1,0,,7,20131218
xCL9YqrImO/Ts619jucSoY7rcuHvjr7LT47jPGsH3W8=,1,0,,7,20131221
LlYwkFSBYXygzhYn7AHiZYyVkKHtuImXXl5fwGWPNdA=,1,0,,7,20131225
H+6wq0uqLmazJuQv24DbdeJa+WzXORjyKyC8QGooNQU=,1,0,,7,20131231
8kcHBG3zq+Ba45dAm/KLv6hLzN0JaNsqYQH94kAf3Cg=,1,0,,7,20130912
wTKDPi7t9cViZiQz72ojV4CL+hh2dwYqf5/rppsq/qc=,1,0,,7,20130913
vAhxhdfIUWlkV4TkLqCiswpmbkFDVvR/IzJ+YiDaO54=,1,0,,7,20130915
YsYvTb6bm00HGfhlEwXlqJFDgU4QULYGMBTjk61qme0=,15,30,male,9,20130917
RmgmzkFHVfpuQbhijCIq1DP/LUm5Hquf3fO0nO1q+6E=,1,46,male,7,20130917
XKJAiqq0ZXVp9zVjEd8anP7BjfYz91R6EVvS+OK+4rE=,1,0,,7,20130918
Uo7UYurmHANyZVB4w60ZtZfxc4VvqXYi6sTm+t/HsGU=,4,20,female,9,20130919
uYNb47RkwRrJJJqzo/xLOO8cVe880200h6/dxcqInJs=,1,0,,3,20130921
SnwdJkyH3XKPCwPbA/Ciqykr75ayfEEUYihhXcUv2ZU=,5,0,,4,20151110
idA8wNYjsgw1hR/ksmPRWhu781FcGqY7Bda8aj+ZLSs=,13,0,,4,20151110
IX+IcWC7IBzEpl5kgLFel93A6BsgRsw2vi9p9UHzWhs=,5,43,female,9,20130412
M509HsJYTmD+JhpJgRPM6WjbKdsWLR1iRtPQaP5lWJY=,6,23,male,9,20130424
s0+hlvx5sOs+pLcK6xp/ieetUTnFXKph54y+sKrEJFQ=,1,0,,7,20130429
dR51MUNrlNYXczVFUlNv8edv7KURSUD2UuKMj9/NuEE=,5,0,,7,20130508
2Db3vNrN5Ipqz4B2YveGM+dtlz1DpNrB0vktzNRljp8=,1,0,,7,20130509
ivwPF9eFPujSyMaRSWVNT0sHqqJ5CGCJzeajE2K5Na8=,14,26,female,7,20130510
