msno,date,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs
i6iZsF5FCjDkKL8STcHIYp0hMy4qlA2TBdEtp/+fUas=,20170324,0,0,0,0,12,11,4005.293
b2CyrEIgtF3lux5rHT3h8IEg/C674rT+iVdY+UQL3CA=,20170323,11,5,4,2,99,74,27014.748
kkDQTQ44ttEE5mMlD+/D2X4bLuiW4vhjc8pEFJ029pg=,20170326,0,0,0,0,7,7,2701.408
fE68Ztlt4snPCbeCfwdO6XE69GBbSQyu8lTK6CGAtl8=,20170313,0,0,0,0,8,8,1691.869
Kq3R+7zFWQ7YTvNSMVqlgjXIXjvcRBKW1KBvHANGaZg=,20170319,6,1,0,1,10,13,1711.378
+p4O0htiX2I+WynzjjcAkiDRslykaw8H6euzgWnCumg=,20170319,0,0,0,0,34,34,8768.275
ZQNmVub2Er364F8qYe/HJGve+M/IV8q/vC5IKX5ZM/U=,20170315,9,3,1,4,25,21,7346.59
5YL+aMbE9fma8VAhCSE78O0Q5Cp9XJEBtlYoDtmgYSs=,20170312,0,0,0,0,22,9,21301
eP7NiQ9ZNJXjktf8B3fbbtuJtZZBCT/ZAWdYcfwuEq8=,20170303,0,1,0,0,3,4,705.726
wHMLlnqMoe34st8ZQIDwZDmEDnqL3ENzof1tcftNE2U=,20170302,11,1,2,5,44,51,12059.532
4+wzg2pGT38TKZkhrGucizT/q3yx1QXwBuIod1GKYhw=,20170306,1,1,0,0,17,18,3649.614
139bDzw+qitMdrDAg7NTf9ycsY1TBNsK8rX6cYgatH4=,20170310,14,4,1,2,30,17,8039.825
fexSNNznK4wr4tNBJ0bCMl0IOYtsEc/H3bXXYIR939M=,20170321,9,0,1,0,80,73,19032.858
4apo1SXZwRBSOy9mbE4BvqMkmALNQlJ93WDrRgnD7oc=,20170330,1,1,0,0,30,22,6962.698
xiHylC8LOHYeArTMdn44qNQXyxpik/syMP3nLg5nQL4=,20170312,2,2,1,0,26,30,7087.299
vscOTx2gwU513vez6uZtmIRRgttkBqwYw988vSbsSjg=,20170326,8,4,2,1,28,24,6818.433
xnkX2Ak0d7Mu9hU7m3/8jCr/NIga7qiEwoSRerCCf+4=,20170328,7,3,0,0,21,31,5079.543
aA5MhSLvYVxJqbv36lYTWzGYwn0v6K9KVJ8qADKaqpM=,20170314,1,1,0,0,8,9,2085.463
BB8VzGDlMmfgNBztk2O3fVrgdz5y6wkmLtlkGGd8bxU=,20170321,16,2,4,1,8,30,3249.036
bXPF16afCMZs6Hbf86LAW/22WhkHiYU2FoXp5JCiX9o=,20170330,3,1,0,0,18,22,4741.539
Z+/8OtZC6Sq8Z7i/ndrQZqU32bdkarLot3O34YZqE14=,20170319,1,1,2,2,35,38,8955.996
UHT2kFlWkGl7cMC2UYhi36i4AAkmXr7yAsQGoJ20Bn4=,20170317,6,2,2,2,15,17,3532.572
ieK6eG/gVG9j0FX1bgfuOcAyII1Hk53UvXY9OBQU7IE=,20170321,27,2,4,1,15,44,4772.507
sgCynE1xsbOz/u1LheXQXt26cf7v0VZfaTPP3VE17bQ=,20170320,6,3,0,9,12,19,4874.666
9QzGgrqQDBSDqmb28uvAoKnfXCO2JCEGtwe9M/ypeFg=,20170305,0,0,0,0,25,24,6934
oGjItFl0Ga+4hcjPSaDIQRSizm/ZH667mUdX2kxRXgc=,20170309,1,0,0,1,15,11,3233.883
dQSytsYcyo9PAYhSWckhzxV8n6MU8az/s5fdwtyS1xk=,20170326,15,1,1,2,15,33,4182.81
XI3X+0te4xhd3lXLXxFoPn7qnFE0n3IHbOKOjOsP4i0=,20170316,0,0,0,0,20,20,5051
y/hIxcct05xB4AW1hVwJgsvWRHBxPRhFO34hvYQJ53s=,20170324,4,2,0,2,21,20,6223.626
hY4fKXjiBkWkHjL2qewVLZoMeRcJ3hNH42TgJ9q1BWE=,20170303,0,0,0,0,20,16,5102.677
emk1/RCNP8Q2PMVCQDMvB/C5Z/Ys/DKip5UxUTS7ph0=,20170314,3,1,1,0,34,26,9359.82
QpOU9mqr0de28PHN081eWJPAChYZ25U81dvZQqVSzUE=,20170331,0,0,0,0,4,4,932
G1uAOPkvoL1iPg4ALUyA11lWZpGnYoMMqjeWdBaeh88=,20170320,5,2,1,0,27,25,7569.988
QoZcq+eEc3BXTqKCVbB30UZJHY9Ot6jUZ7qz4b7boxw=,20170328,0,0,1,0,31,30,7956.964
u58Z0SCrqxUBlcmSgwl7maSeXw7icnrcMXJP3LQ2lxk=,20170328,22,4,1,1,18,37,5747.743
3dTqoHVzNltqX4eZj+Jx/mwh3VY6wgZNaxLMYcMMr94=,20170316,2,0,0,0,179,110,39991.239
vwsDlE9MK2d9q2vP1lFBJCFrP/hXBUnLYFOKlE8kOoM=,20170331,8,2,0,4,12,26,4119.419
Ukabg4JnM/2KZUS7n7zADKm5vda1U5PpEYBjsAk57XE=,20170313,3,4,2,2,132,99,35518.356
3DI334pfHZXeGi8XX9kkeDk+K2E7q6ACGKlsJE8z8Wc=,20170318,0,1,1,0,124,65,30108.914
pXV3PSqYYBcYgjRK63scoLIvFJNIoJnZws+/R/zhURk=,20170318,10,0,3,2,10,23,3285.264
gOG+wzvQ2A8bsGR31hpwkrzVFXlPUwq8uAo0bIKjwz4=,20170329,17,5,4,4,32,29,10791.208
GpvznAwacFAFwc+7TAjbpMPcG5QzmXlyOsSLskXt9Dk=,20170307,10,2,2,1,55,31,12924.164
i/vwBh9o2ZBKVOJvl1LvfWizOabSbtSPL8jTDMohLx4=,20170319,1,0,0,0,11,12,2843.976
